policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:mdp,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,165,284,2.21,0.0,optimal,2.6575768091715872,2.656739822999981
gcnn:tmdp+DFS,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,141,281,2.12,0.0,optimal,2.4837049557827413,2.4834500479999804
gcnn:tmdp+DFS,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,159,258,1.9,0.0,optimal,2.27588456729427,2.275251666999992
gcnn:tmdp+DFS,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,133,232,2.1,0.0,optimal,2.4878352861851454,2.4873908769999957
gcnn:tmdp+DFS,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,173,283,2.11,0.0,optimal,2.6165967262350023,2.615921874999998
gcnn:tmdp+DFS,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,173,323,2.26,0.0,optimal,2.670162808150053,2.669355091
gcnn:tmdp+ObjLim,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,143,292,2.14,0.0,optimal,2.5615351418964565,2.5608989719999897
gcnn:tmdp+ObjLim,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,127,220,1.83,0.0,optimal,2.1327140335924923,2.1323448010000163
gcnn:tmdp+ObjLim,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,129,233,2.06,0.0,optimal,2.472181730903685,2.4718516289999855
gcnn:tmdp+ObjLim,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,195,300,2.19,0.0,optimal,2.596281467936933,2.5966152709999903
gcnn:tmdp+ObjLim,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,173,323,2.23,0.0,optimal,2.689738121815026,2.688717085999997
gcnn:iql_retro_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,45,162,1.77,0.0,optimal,2.038022401276976,2.037499758999985
