policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:tmdp+ObjLim,3,test,data/instances/cauctions/test_100_500/instance_2.lp,59,126,1.04,0.0,optimal,1.2313895910046995,1.2308135259999915
gcnn:tmdp+ObjLim,4,test,data/instances/cauctions/test_100_500/instance_2.lp,58,117,0.99,0.0,optimal,1.1867937557399273,1.1861504099999962
gcnn:iql_retro_off,0,test,data/instances/cauctions/test_100_500/instance_2.lp,63,112,1.02,0.0,optimal,1.2371648279950023,1.2369617970000064
gcnn:iql_retro_off,1,test,data/instances/cauctions/test_100_500/instance_2.lp,51,110,1.09,0.0,optimal,1.310435390099883,1.3099808559999957
gcnn:iql_retro_off,2,test,data/instances/cauctions/test_100_500/instance_2.lp,61,132,1.05,0.0,optimal,1.2738143550232053,1.2735428779999864
gcnn:iql_retro_off,3,test,data/instances/cauctions/test_100_500/instance_2.lp,79,145,1.03,0.0,optimal,1.2952941954135895,1.2946937600000012
gcnn:iql_retro_off,4,test,data/instances/cauctions/test_100_500/instance_2.lp,43,104,0.99,0.0,optimal,1.1511125969700515,1.150562917000002
gcnn:iql_tmdp+DFS_off,0,test,data/instances/cauctions/test_100_500/instance_2.lp,63,111,1.05,0.0,optimal,1.2418764303438365,1.241241020000004
gcnn:iql_tmdp+DFS_off,1,test,data/instances/cauctions/test_100_500/instance_2.lp,282,342,1.62,0.0,optimal,2.0256290617398918,2.0245009119999935
gcnn:iql_tmdp+DFS_off,2,test,data/instances/cauctions/test_100_500/instance_2.lp,124,182,1.15,0.0,optimal,1.435195591300726,1.435127762999997
gcnn:iql_tmdp+DFS_off,3,test,data/instances/cauctions/test_100_500/instance_2.lp,81,149,1.01,0.0,optimal,1.2797637516632676,1.2795795229999953
gcnn:iql_tmdp+DFS_off,4,test,data/instances/cauctions/test_100_500/instance_2.lp,57,109,1.0,0.0,optimal,1.1748577803373337,1.1742679600000088
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/cauctions/test_100_500/instance_2.lp,65,111,1.02,0.0,optimal,1.2347008120268583,1.234116912999994
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/cauctions/test_100_500/instance_2.lp,76,141,1.19,0.0,optimal,1.3843634687364101,1.3836489620000094
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/cauctions/test_100_500/instance_2.lp,64,122,1.11,0.0,optimal,1.2668032301589847,1.266532687999998
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/cauctions/test_100_500/instance_2.lp,59,128,1.05,0.0,optimal,1.2329213279299438,1.232624831999999
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/cauctions/test_100_500/instance_2.lp,67,111,0.98,0.0,optimal,1.1918728700838983,1.1913189109999962
gcnn:iql_mdp_off,0,test,data/instances/cauctions/test_100_500/instance_2.lp,55,100,1.02,0.0,optimal,1.2198015036992729,1.2192469670000037
gcnn:iql_mdp_off,1,test,data/instances/cauctions/test_100_500/instance_2.lp,75,130,1.16,0.0,optimal,1.3728816588409245,1.3720574729999981
gcnn:iql_mdp_off,2,test,data/instances/cauctions/test_100_500/instance_2.lp,69,127,1.04,0.0,optimal,1.2665250850841403,1.2658552729999997
gcnn:iql_mdp_off,3,test,data/instances/cauctions/test_100_500/instance_2.lp,93,163,1.1,0.0,optimal,1.3556169611401856,1.3552159639999957
gcnn:iql_mdp_off,4,test,data/instances/cauctions/test_100_500/instance_2.lp,51,96,0.94,0.0,optimal,1.1446711220778525,1.1441424789999957
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_3.lp,9,85,2.39,0.0,optimal,2.741242488846183,2.731824197999998
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_3.lp,15,134,3.21,0.0,optimal,3.7151402039453387,3.7132406130000106
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_3.lp,11,108,3.24,0.0,optimal,3.6235218020156026,3.6219592520000106
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_3.lp,15,134,2.68,0.0,optimal,3.1275932700373232,3.1262176420000003
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_3.lp,17,137,3.34,0.0,optimal,3.8557126419618726,3.8539180299999884
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_3.lp,144,292,1.57,0.0,optimal,1.9316263780929148,1.9299692499999992
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_3.lp,145,270,1.62,0.0,optimal,1.9806424067355692,1.9804155019999996
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_3.lp,149,302,1.71,0.0,optimal,2.0719323358498514,2.0707677499999875
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_3.lp,145,288,1.56,0.0,optimal,1.8855262203142047,1.8853268530000094
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_3.lp,131,338,1.8,0.0,optimal,2.1631625001318753,2.1622773260000088
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_3.lp,195,249,1.62,0.0,optimal,2.0125675569288433,2.011702320999973
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_3.lp,250,324,1.85,0.0,optimal,2.3017673762515187,2.3007615439999825
gcnn:mdp,2,test,data/instances/cauctions/test_100_500/instance_3.lp,2411,2718,7.22,0.0,optimal,9.750728159211576,9.742428087999997
gcnn:mdp,3,test,data/instances/cauctions/test_100_500/instance_3.lp,300,387,1.89,0.0,optimal,2.3350823600776494,2.3355306910000024
gcnn:mdp,4,test,data/instances/cauctions/test_100_500/instance_3.lp,332,413,2.24,0.0,optimal,2.8177871918305755,2.8179537859999755
gcnn:tmdp+DFS,0,test,data/instances/cauctions/test_100_500/instance_3.lp,193,260,1.65,0.0,optimal,1.9985789190977812,1.997434174999995
gcnn:tmdp+DFS,1,test,data/instances/cauctions/test_100_500/instance_3.lp,249,341,1.87,0.0,optimal,2.3459072238765657,2.344490006000001
gcnn:tmdp+DFS,2,test,data/instances/cauctions/test_100_500/instance_3.lp,215,275,1.86,0.0,optimal,2.230327664874494,2.2301611080000043
gcnn:tmdp+DFS,3,test,data/instances/cauctions/test_100_500/instance_3.lp,287,360,1.84,0.0,optimal,2.3056490221060812,2.3039262010000243
gcnn:tmdp+DFS,4,test,data/instances/cauctions/test_100_500/instance_3.lp,272,359,2.02,0.0,optimal,2.5495662852190435,2.5479309989999877
gcnn:tmdp+ObjLim,0,test,data/instances/cauctions/test_100_500/instance_3.lp,199,261,1.64,0.0,optimal,2.0471762740053236,2.046013816999988
gcnn:tmdp+ObjLim,1,test,data/instances/cauctions/test_100_500/instance_3.lp,251,342,1.87,0.0,optimal,2.3567928299307823,2.355339861999994
gcnn:tmdp+ObjLim,2,test,data/instances/cauctions/test_100_500/instance_3.lp,235,304,1.84,0.0,optimal,2.346869505941868,2.3452754220000145
gcnn:tmdp+ObjLim,3,test,data/instances/cauctions/test_100_500/instance_3.lp,274,352,1.86,0.0,optimal,2.293067474383861,2.291405408000003
gcnn:tmdp+ObjLim,4,test,data/instances/cauctions/test_100_500/instance_3.lp,281,355,2.01,0.0,optimal,2.631427159998566,2.6297188769999877
gcnn:iql_retro_off,0,test,data/instances/cauctions/test_100_500/instance_3.lp,189,240,1.59,0.0,optimal,1.98678635712713,1.9856358910000154
gcnn:iql_retro_off,1,test,data/instances/cauctions/test_100_500/instance_3.lp,230,330,1.86,0.0,optimal,2.3072754656895995,2.3056965330000025
gcnn:iql_retro_off,2,test,data/instances/cauctions/test_100_500/instance_3.lp,213,278,1.85,0.0,optimal,2.2547964989207685,2.2533457380000073
gcnn:iql_retro_off,3,test,data/instances/cauctions/test_100_500/instance_3.lp,225,343,1.79,0.0,optimal,2.1576000400818884,2.15628384499999
gcnn:iql_retro_off,4,test,data/instances/cauctions/test_100_500/instance_3.lp,214,307,1.9,0.0,optimal,2.365726445801556,2.364320241999991
gcnn:iql_tmdp+DFS_off,0,test,data/instances/cauctions/test_100_500/instance_3.lp,219,324,1.7,0.0,optimal,2.1652852944098413,2.163897058999993
gcnn:iql_tmdp+DFS_off,1,test,data/instances/cauctions/test_100_500/instance_3.lp,191,250,1.68,0.0,optimal,2.0791377988643944,2.0779168930000083
gcnn:iql_tmdp+DFS_off,2,test,data/instances/cauctions/test_100_500/instance_3.lp,207,267,1.77,0.0,optimal,2.1845110547728837,2.1832366719999925
gcnn:iql_tmdp+DFS_off,3,test,data/instances/cauctions/test_100_500/instance_3.lp,250,353,1.76,0.0,optimal,2.231383716221899,2.2298541589999843
gcnn:iql_tmdp+DFS_off,4,test,data/instances/cauctions/test_100_500/instance_3.lp,213,309,1.87,0.0,optimal,2.3522584633901715,2.35087063200001
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/cauctions/test_100_500/instance_3.lp,207,274,1.69,0.0,optimal,2.109303447883576,2.1081005089999962
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/cauctions/test_100_500/instance_3.lp,264,366,1.9,0.0,optimal,2.404584197793156,2.4044939190000036
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/cauctions/test_100_500/instance_3.lp,213,284,1.78,0.0,optimal,2.2021411689929664,2.2008766320000177
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/cauctions/test_100_500/instance_3.lp,353,625,2.3,0.0,optimal,2.899014462251216,2.899084799999997
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/cauctions/test_100_500/instance_3.lp,219,328,1.89,0.0,optimal,2.4104495248757303,2.4091346200000032
gcnn:iql_mdp_off,0,test,data/instances/cauctions/test_100_500/instance_3.lp,207,269,1.67,0.0,optimal,2.0600898382253945,2.0589126910000175
gcnn:iql_mdp_off,1,test,data/instances/cauctions/test_100_500/instance_3.lp,216,307,1.76,0.0,optimal,2.248397415969521,2.2471360460000085
gcnn:iql_mdp_off,2,test,data/instances/cauctions/test_100_500/instance_3.lp,201,265,1.75,0.0,optimal,2.1592890969477594,2.158010203999993
gcnn:iql_mdp_off,3,test,data/instances/cauctions/test_100_500/instance_3.lp,228,322,1.72,0.0,optimal,2.120795728173107,2.1192646129999844
gcnn:iql_mdp_off,4,test,data/instances/cauctions/test_100_500/instance_3.lp,201,286,1.85,0.0,optimal,2.2959070559591055,2.2945418770000003
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_4.lp,5,75,1.58,0.0,optimal,1.9238610700704157,1.9152063430000226
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_4.lp,11,95,1.85,0.0,optimal,2.163336558267474,2.1626881710000134
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_4.lp,7,66,1.5,0.0,optimal,1.8244678871706128,1.8236802899999986
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_4.lp,11,82,1.81,0.0,optimal,2.1775313219986856,2.1768711750000023
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_4.lp,5,78,1.78,0.0,optimal,2.112747733015567,2.1117878820000158
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_4.lp,61,168,1.16,0.0,optimal,1.4078398770652711,1.4075377929999888
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_4.lp,59,166,1.09,0.0,optimal,1.3211922920309007,1.320526252999997
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_4.lp,57,124,0.96,0.0,optimal,1.2062803078442812,1.206074244000007
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_4.lp,59,163,1.14,0.0,optimal,1.3617293648421764,1.3613771949999887
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_4.lp,59,168,1.17,0.0,optimal,1.4955898579210043,1.4948927259999891
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_4.lp,104,197,1.32,0.0,optimal,1.582348894327879,1.582118161999972
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_4.lp,280,375,1.66,0.0,optimal,2.129750902298838,2.128298681999979
gcnn:mdp,2,test,data/instances/cauctions/test_100_500/instance_4.lp,158,255,1.24,0.0,optimal,1.5787200652994215,1.5777914399999986
gcnn:mdp,3,test,data/instances/cauctions/test_100_500/instance_4.lp,271,348,1.57,0.0,optimal,2.0039950949139893,2.004152437000016
gcnn:mdp,4,test,data/instances/cauctions/test_100_500/instance_4.lp,215,334,1.63,0.0,optimal,2.0448545031249523,2.0437011340000026
gcnn:tmdp+DFS,0,test,data/instances/cauctions/test_100_500/instance_4.lp,100,192,1.24,0.0,optimal,1.5658426308073103,1.5650095049999777
gcnn:tmdp+DFS,1,test,data/instances/cauctions/test_100_500/instance_4.lp,105,208,1.24,0.0,optimal,1.519097843207419,1.518301670000028
gcnn:tmdp+DFS,2,test,data/instances/cauctions/test_100_500/instance_4.lp,124,205,1.19,0.0,optimal,1.4808461680077016,1.4800995479999983
gcnn:tmdp+DFS,3,test,data/instances/cauctions/test_100_500/instance_4.lp,98,195,1.2,0.0,optimal,1.4783630552701652,1.4775696220000327
gcnn:tmdp+DFS,4,test,data/instances/cauctions/test_100_500/instance_4.lp,119,234,1.48,0.0,optimal,1.8038123394362628,1.8028966820000392
gcnn:tmdp+ObjLim,0,test,data/instances/cauctions/test_100_500/instance_4.lp,104,196,1.29,0.0,optimal,1.5710426992736757,1.5708269250000058
gcnn:tmdp+ObjLim,1,test,data/instances/cauctions/test_100_500/instance_4.lp,111,170,1.18,0.0,optimal,1.4678730950690806,1.4670496570000182
gcnn:tmdp+ObjLim,2,test,data/instances/cauctions/test_100_500/instance_4.lp,115,197,1.12,0.0,optimal,1.4416190991178155,1.4415526649999606
gcnn:tmdp+ObjLim,3,test,data/instances/cauctions/test_100_500/instance_4.lp,89,158,1.14,0.0,optimal,1.4263334721326828,1.4256245579999813
gcnn:tmdp+ObjLim,4,test,data/instances/cauctions/test_100_500/instance_4.lp,113,201,1.28,0.0,optimal,1.6240512998774648,1.6232754150000233
gcnn:iql_retro_off,0,test,data/instances/cauctions/test_100_500/instance_4.lp,77,154,1.16,0.0,optimal,1.4219565270468593,1.4217240969999807
gcnn:iql_retro_off,1,test,data/instances/cauctions/test_100_500/instance_4.lp,73,152,1.11,0.0,optimal,1.3184301326982677,1.3176482160000091
gcnn:iql_retro_off,2,test,data/instances/cauctions/test_100_500/instance_4.lp,96,222,1.15,0.0,optimal,1.4432664951309562,1.442453764999982
gcnn:iql_retro_off,3,test,data/instances/cauctions/test_100_500/instance_4.lp,95,211,1.2,0.0,optimal,1.473997699096799,1.4732955989999823
gcnn:iql_retro_off,4,test,data/instances/cauctions/test_100_500/instance_4.lp,73,167,1.2,0.0,optimal,1.4931671880185604,1.492330107999976
gcnn:iql_tmdp+DFS_off,0,test,data/instances/cauctions/test_100_500/instance_4.lp,95,201,1.23,0.0,optimal,1.542779732029885,1.5425802999999974
gcnn:iql_tmdp+DFS_off,1,test,data/instances/cauctions/test_100_500/instance_4.lp,115,230,1.22,0.0,optimal,1.5700088357552886,1.5691191760000152
gcnn:iql_tmdp+DFS_off,2,test,data/instances/cauctions/test_100_500/instance_4.lp,97,189,1.07,0.0,optimal,1.355984448455274,1.3559201559999678
gcnn:iql_tmdp+DFS_off,3,test,data/instances/cauctions/test_100_500/instance_4.lp,90,137,1.07,0.0,optimal,1.3643612386658788,1.3637063200000057
gcnn:iql_tmdp+DFS_off,4,test,data/instances/cauctions/test_100_500/instance_4.lp,96,182,1.27,0.0,optimal,1.5907169464044273,1.589939655999956
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/cauctions/test_100_500/instance_4.lp,93,198,1.25,0.0,optimal,1.501057533081621,1.5009251339999992
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/cauctions/test_100_500/instance_4.lp,120,242,1.22,0.0,optimal,1.5428518326953053,1.542171364000012
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/cauctions/test_100_500/instance_4.lp,69,152,0.99,0.0,optimal,1.2655865913257003,1.2655666940000287
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/cauctions/test_100_500/instance_4.lp,97,174,1.21,0.0,optimal,1.456899352837354,1.4561800500000004
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/cauctions/test_100_500/instance_4.lp,112,238,1.38,0.0,optimal,1.727821254171431,1.7269888210000204
gcnn:iql_mdp_off,0,test,data/instances/cauctions/test_100_500/instance_4.lp,81,171,1.24,0.0,optimal,1.4749461021274328,1.4747975809999616
gcnn:iql_mdp_off,1,test,data/instances/cauctions/test_100_500/instance_4.lp,93,173,1.15,0.0,optimal,1.3999571450985968,1.39976087499997
gcnn:iql_mdp_off,2,test,data/instances/cauctions/test_100_500/instance_4.lp,89,193,1.1,0.0,optimal,1.3775542480871081,1.376828587000034
gcnn:iql_mdp_off,3,test,data/instances/cauctions/test_100_500/instance_4.lp,123,219,1.26,0.0,optimal,1.5755613120272756,1.5754995940000072
gcnn:iql_mdp_off,4,test,data/instances/cauctions/test_100_500/instance_4.lp,95,218,1.35,0.0,optimal,1.653940779156983,1.653661473999989
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_5.lp,11,93,1.95,0.0,optimal,2.284703595098108,2.275838668000006
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_5.lp,5,79,1.67,0.0,optimal,1.9703965769149363,1.9695028799999932
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_5.lp,11,106,1.74,0.0,optimal,2.0996487201191485,2.098835957999995
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_5.lp,9,73,1.54,0.0,optimal,1.765828587114811,1.7651753999999755
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_5.lp,13,83,2.15,0.0,optimal,2.629497056361288,2.628053967000028
